class_id,class_name,num_test_images,true_entropy_mean,pred_entropy_mean,entropy_mae,kl_mean,jsd_mean,cosine_mean,pearson_entropy_corr,spearman_entropy_corr
0,airplane,192,0.27565897,0.5668743,0.46099555,0.27235186,0.062963895,0.933049,0.26174444,0.28942961572654313
1,automobile,195,0.16871394,0.241088,0.21267532,0.10656312,0.019151947,0.98720217,0.4450444,0.3318208063759094
2,bird,182,0.3128045,0.6258153,0.47020704,0.46963385,0.09279442,0.87612545,0.47065336,0.4366384833278211
3,cat,227,0.3593442,0.6410673,0.45097265,0.421657,0.086346805,0.88449556,0.45681193,0.47844451621813294
4,deer,219,0.41534445,0.6367902,0.46812436,0.29193267,0.061768815,0.93415964,0.3362794,0.3857427600733662
5,dog,206,0.24304526,0.5526699,0.42160854,0.3705625,0.07845273,0.8933988,0.39629513,0.4060580409520957
6,frog,197,0.23299213,0.35549214,0.31910166,0.19393538,0.03833837,0.9648073,0.26989993,0.40782289512067005
7,horse,200,0.14259477,0.33294237,0.30283558,0.24544415,0.04882885,0.9375215,0.41450906,0.2996143283174015
8,ship,193,0.18551217,0.30231425,0.29029396,0.17652065,0.035432633,0.96385723,0.39026183,0.12814527986663343
9,truck,189,0.14506762,0.25805643,0.21856347,0.13075705,0.026944151,0.9740146,0.41853446,0.47192059520346274
