rank_position,image_index,hard_label,hard_label_name,true_entropy,pred_entropy,entropy_abs_error,kl,true_top_class,true_top_class_name,pred_top_class,pred_top_class_name
0,987,1,automobile,-0.0,0.00551442988216877,0.00551442988216877,0.000387474283343181,1,automobile,1,automobile
1,58,4,deer,0.7555668354034424,1.6841750144958496,0.9286081790924072,0.6444185972213745,4,deer,4,deer
2,8631,2,bird,-0.0,0.10357107222080231,0.10357107222080231,0.01098537165671587,2,bird,2,bird
3,8270,6,frog,0.273654967546463,0.07020194083452225,0.20345303416252136,0.11675987392663956,6,frog,6,frog
4,5696,7,horse,-0.0,0.05564120411872864,0.05564120411872864,0.0052788155153393745,7,horse,7,horse
5,744,9,truck,0.6496096253395081,1.8926483392715454,1.2430386543273926,0.2825832962989807,9,truck,9,truck
6,2747,3,cat,0.7452062964439392,0.29538872838020325,0.44981756806373596,0.30555835366249084,3,cat,3,cat
7,6578,6,frog,-0.0,0.02077779732644558,0.02077779732644558,0.001620528637431562,6,frog,6,frog
8,5069,9,truck,-0.0,0.044977977871894836,0.044977977871894836,0.00397000415250659,9,truck,9,truck
9,9854,9,truck,-0.0,0.04286980256438255,0.04286980256438255,0.004149162210524082,9,truck,9,truck
10,9613,4,deer,0.7662490606307983,0.45852717757225037,0.307721883058548,0.19364506006240845,4,deer,4,deer
11,2010,7,horse,1.5683096647262573,1.8874276876449585,0.31911802291870117,1.0970207452774048,7,horse,3,cat
12,8735,3,cat,0.7266812324523926,1.6712409257888794,0.9445596933364868,1.1763315200805664,3,cat,5,dog
13,8954,2,bird,-0.0,0.040479935705661774,0.040479935705661774,0.003698534332215786,2,bird,2,bird
14,5034,8,ship,-0.0,0.36286237835884094,0.36286237835884094,0.06256900727748871,8,ship,8,ship
15,8809,8,ship,1.6281214952468872,2.077186346054077,0.44906485080718994,0.38621947169303894,6,frog,6,frog
16,1794,3,cat,0.639556348323822,1.4192917346954346,0.7797353863716125,1.927027702331543,3,cat,4,deer
17,4121,5,dog,0.4507913589477539,1.1871553659439087,0.7363640069961548,0.8990404605865479,5,dog,3,cat
18,2592,2,bird,1.5793569087982178,1.210559606552124,0.36879730224609375,2.670476198196411,2,bird,7,horse
19,5931,4,deer,0.4550206661224365,0.022362632676959038,0.43265804648399353,0.25135335326194763,4,deer,4,deer
20,5017,7,horse,-0.0,0.0024287246633321047,0.0024287246633321047,0.0001573438785271719,7,horse,7,horse
21,3682,3,cat,0.13923299312591553,1.940674066543579,1.8014410734176636,0.5706504583358765,3,cat,3,cat
22,2024,6,frog,-0.0,0.4477475881576538,0.4477475881576538,0.09454295784235,6,frog,6,frog
23,5335,9,truck,-0.0,0.13087671995162964,0.13087671995162964,0.014525032602250576,9,truck,9,truck
24,7783,3,cat,-0.0,0.1642504781484604,0.1642504781484604,0.023081326857209206,3,cat,3,cat
25,4400,3,cat,-0.0,0.048107560724020004,0.048107560724020004,0.004909484181553125,3,cat,3,cat
26,7732,7,horse,-0.0,0.4795016050338745,0.4795016050338745,0.06014721840620041,7,horse,7,horse
27,5988,9,truck,-0.0,0.022802717983722687,0.022802717983722687,0.0020927926525473595,9,truck,9,truck
28,4294,0,airplane,-0.0,0.2649816572666168,0.2649816572666168,0.032099563628435135,0,airplane,0,airplane
29,3313,2,bird,-0.0,0.00033194769639521837,0.00033194769639521837,1.7404403479304165e-05,2,bird,2,bird
30,9359,6,frog,-0.0,0.10935395210981369,0.10935395210981369,0.01095047127455473,6,frog,6,frog
31,1040,7,horse,0.5142748355865479,1.073020100593567,0.558745265007019,3.947094202041626,7,horse,5,dog
32,4656,9,truck,0.1370995044708252,0.02473936788737774,0.11236013472080231,0.030174769461154938,9,truck,9,truck
33,6832,1,automobile,-0.0,0.03395345062017441,0.03395345062017441,0.003090132027864456,1,automobile,1,automobile
34,4074,2,bird,0.7351527214050293,0.2370242476463318,0.4981284737586975,0.17151901125907898,2,bird,2,bird
35,5983,4,deer,0.273654967546463,0.08058121800422668,0.19307374954223633,0.18749700486660004,4,deer,4,deer
36,2621,8,ship,0.1370995044708252,0.0213224645704031,0.11577703803777695,0.11471705883741379,8,ship,8,ship
37,1140,6,frog,-0.0,0.007057190407067537,0.007057190407067537,0.0005050814361311495,6,frog,6,frog
38,2554,4,deer,0.3767743706703186,0.7317121624946594,0.3549377918243408,0.046970270574092865,4,deer,4,deer
39,587,4,deer,0.273654967546463,0.16908296942710876,0.10457199811935425,0.07863341271877289,4,deer,4,deer
40,8737,7,horse,0.7482411861419678,0.22009994089603424,0.5281412601470947,0.2612813711166382,7,horse,7,horse
41,4150,6,frog,0.13923299312591553,0.12526258826255798,0.013970404863357544,0.04462440684437752,6,frog,6,frog
42,1321,2,bird,0.42254263162612915,1.5437010526657104,1.1211583614349365,0.33151957392692566,2,bird,2,bird
43,2332,2,bird,-0.0,0.0028958593029528856,0.0028958593029528856,0.00018785620341077447,2,bird,2,bird
44,7182,0,airplane,0.2822921872138977,1.1156721115112305,0.8333799242973328,0.15728791058063507,0,airplane,0,airplane
45,2142,1,automobile,0.1414405107498169,0.33134037256240845,0.18989986181259155,0.017805859446525574,1,automobile,1,automobile
46,4533,8,ship,-0.0,0.07587220519781113,0.07587220519781113,0.007582337129861116,8,ship,8,ship
47,914,0,airplane,-0.0,2.2866663932800293,2.2866663932800293,0.6610689759254456,0,airplane,0,airplane
48,5804,0,airplane,-0.0,0.32371261715888977,0.32371261715888977,0.04447600618004799,0,airplane,0,airplane
49,1246,7,horse,0.1414405107498169,0.029252391308546066,0.11218811571598053,0.16436494886875153,7,horse,7,horse
50,9753,3,cat,0.7212798595428467,1.9000184535980225,1.1787385940551758,0.46395987272262573,3,cat,3,cat
51,3609,9,truck,0.2822921872138977,0.03058638609945774,0.2517057955265045,0.16422340273857117,9,truck,9,truck
52,3233,8,ship,0.13923299312591553,0.002747118240222335,0.13648587465286255,0.09046231210231781,8,ship,8,ship
53,5136,9,truck,-0.0,0.03931770473718643,0.03931770473718643,0.004035070072859526,9,truck,9,truck
